,comment,class_label
608,"Super predmet, zaujimavy obsah, na prejdenie nenarocne - mozno by som zmenil hodnotenie z 80/20 na 60/40 alebo 70/30 aby bola vacsia motivacia aj pocuvat prednasky. Kurz bol podla mna na ten hodinovy rozsah zostaveny velmi dobre aj vyber tem bol dobry. Jedine co mi vadilo je mozno vyraznejsi, presvedcivejsi prejav a to ze sa vsetci naokolo pocas prednasok rozpravali.",1
554,"Veľmi zaujímavé učivo, ktoré objasní, prečo niektoré zákonitosti v matematike platia. Veľmi dobre korešponduje s prednáškami a cvičeniami z bežnej matematickej analýzy.",1
356,"projekt bol zaujimavy, kazdemu sa hodi skusenost pracovat v time, no predmet si vazne vyzadoval vela casu a prednasky neboli prilis uzitocne",-1
128,"vyborny predmet, vediet sa zorientovat v linuxe sa urcite vzdy zide",1
697,Velmi dobre podane a urcite prakticke.,1
242,"Celkovo dobrý predmet so zaujímavým projektom. Neviem čo viac povedať, koho zaujíma počítačové videnie, tak sa to oplatí (okrem toho, nadväzuje na to viacero predmetov)",1
1363,je to tak dobry predmet clovek sa aspon priuci logickemu mysleniu:),1
2683,"Nepáčilo sa mi množstvo opravných písomiek a bonusových bodov na nich. Všetci mali potom veľa bodov, a ani sa na písomky nemuseli moc učiť.",-1
282,"Najlepsi programovaci predmet ain. Na prednasky sa chodi aj po prebdenej noci. Na cvicenia sa nechodi, nie je dovod. Tie su vymyslene perfektne, postupne tazsie a tazsie ale nic co by sa po par hodinach nedalo urobit.  Ziadna debilna rekurzia, len pointre (ktore tiez nepotesia, ale daju sa prezit, najma vdaka vyborne zadanym cviceniam). Odporucanie: robte si cvicenia sami, zide sa to.",1
922,"Konečne nejaká ""moderná"" fyzika, výborne podaná na úrovni a hlavne stále zrozumiteľne, výborné prednášky a následne z toho poznámky. Síce domácich úloh boli kvantá, ale aspoň to lepšie pomohlo naučiť sa danú látku",1
1097,Vďaka ZMM boli Matematika a Fyzika občas veľmi jednoduché.,1
1112,"z mojho pohladu asi najzaujimavejsi, najlepsie podany predmet aky som zatial mal",1
1046,Predmet bol zaujímavý,1
1553,"Je to des. Tak krasny predmet takto znicit. Vobec to nebolo seriozne budovane. Stalo to na chabych zakladoch. Na cvikach to bolo hrozne pomale a neproduktivne zabity cas dokazovanim jednoduchych tvrdeni a rychlym preletenim vacsich. Vobec sme netusili z coho  a aka bude skuska(ci iba pisomka, ci iba z prikladov). Tento predmet si zasluzi aspon take postavenie ako analyza jednotka. Teda taku poctivost preciznost a serioznost.",-1
985,"Zaujímavý predmet, ale čo z toho, keď pre bežného študenta z gymnázia (rozumej matfyzáckeho neolympionika) takmer úplne nepochopiteľný napriek absolvovaniu takmer všetkých prednášok a cvičení. Možno keby sa trocha zmiernilo tempo najmä na cvičeniach a pozeralo sa aj na tých ""bežných študentov"", tak to mohlo byť lepšie a najmä zvládnuteľnejšie. A ešte snaha, aby to tí študenti pochopili, nie aby sa zmiatli tak, že si znechutia fyziku...:-/",-1
2956,tento predmet by nemal byt v ankete,-1
